                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.4953,                 4.5246,                 4.1968,                      0,                      0,                      0,                      0,                 6.8301,                 4.6182,                 4.1591,                      0,                      0,                      0
                      2,                 6.6657,                 4.7084,                 4.2058,                      0,                      0,                      0,                      0,                 6.8301,                 4.6182,                 4.1592,             1.6198e-05,             1.6198e-05,             1.6198e-05
                      3,                 6.6424,                 5.0816,                 4.2361,                      0,                      0,                      0,                      0,                 6.8302,                  4.618,                 4.1593,             3.1454e-05,             3.1454e-05,             3.1454e-05
                      4,                  6.633,                 4.7407,                 4.2474,                      0,                      0,                      0,                      0,                 6.8303,                  4.618,                 4.1594,             4.5766e-05,             4.5766e-05,             4.5766e-05
                      5,                 6.5295,                 4.5405,                  4.182,                      0,                      0,                      0,                      0,                 6.8303,                 4.6179,                 4.1593,             5.9136e-05,             5.9136e-05,             5.9136e-05
                      6,                 6.6156,                 4.9981,                 4.2203,                      0,                      0,                      0,                      0,                 6.8303,                 4.6177,                 4.1592,             7.1562e-05,             7.1562e-05,             7.1562e-05
                      7,                 6.7434,                 4.9015,                  4.173,                      0,                      0,                      0,                      0,                 6.8304,                 4.6175,                  4.159,             8.3045e-05,             8.3045e-05,             8.3045e-05
                      8,                 6.6742,                 5.4497,                 4.1489,                      0,                      0,                      0,                      0,                 6.8304,                 4.6172,                 4.1587,             9.3585e-05,             9.3585e-05,             9.3585e-05
                      9,                 6.5442,                  4.681,                  4.142,                      0,                      0,                      0,                      0,                 6.8304,                 4.6167,                 4.1582,             0.00010318,             0.00010318,             0.00010318
                     10,                 6.8939,                 5.4872,                 4.1477,                      0,                      0,                      0,                      0,                 6.8303,                  4.616,                 4.1575,             0.00011184,             0.00011184,             0.00011184
                     11,                 6.7449,                 4.7081,                 4.1678,                      0,                      0,                      0,                      0,                 6.8303,                  4.615,                 4.1566,             0.00011955,             0.00011955,             0.00011955
                     12,                 6.5421,                 4.6332,                 4.1257,                      0,                      0,                      0,                      0,                 6.8302,                 4.6138,                 4.1555,             0.00012632,             0.00012632,             0.00012632
                     13,                  6.508,                 4.4162,                 4.1302,                      0,                      0,                      0,                      0,                 6.8301,                 4.6125,                 4.1544,             0.00013214,             0.00013214,             0.00013214
                     14,                  6.569,                 4.3682,                 4.0965,                      0,                      0,                      0,                      0,                   6.83,                 4.6107,                 4.1529,             0.00013702,             0.00013702,             0.00013702
                     15,                 6.7608,                 4.8601,                 4.1149,                      0,                      0,                      0,                      0,                 6.8298,                 4.6088,                 4.1513,             0.00014096,             0.00014096,             0.00014096
                     16,                 6.8007,                 5.1101,                 4.1079,                      0,                      0,                      0,                      0,                 6.8297,                 4.6067,                 4.1495,             0.00014396,             0.00014396,             0.00014396
                     17,                 6.4636,                 4.3846,                 4.0611,                      0,                      0,                      0,                      0,                 6.8295,                 4.6045,                 4.1476,             0.00014601,             0.00014601,             0.00014601
                     18,                 6.7281,                  4.831,                 4.0301,                      0,                      0,                      0,                      0,                 6.8295,                 4.6045,                 4.1476,             0.00014712,             0.00014712,             0.00014712
                     19,                 6.6162,                  4.984,                 4.0514,                      0,                      0,                      0,                      0,                 6.8292,                 4.6005,                 4.1441,             0.00014729,             0.00014729,             0.00014729
                     20,                 6.5649,                 4.3294,                 3.9907,                      0,                      0,                      0,                      0,                 6.8292,                 4.6005,                 4.1441,             0.00014651,             0.00014651,             0.00014651
                     21,                  6.663,                 5.2608,                 4.0304,                      0,                      0,                      0,                      0,                 6.8289,                 4.5964,                 4.1403,             0.00014479,             0.00014479,             0.00014479
                     22,                 6.5964,                  4.384,                 4.0135,                      0,                      0,                      0,                      0,                 6.8289,                 4.5964,                 4.1403,             0.00014213,             0.00014213,             0.00014213
                     23,                 6.4386,                 4.6094,                 4.2023,                      0,                      0,                      0,                      0,                 6.8285,                 4.5924,                 4.1365,             0.00013852,             0.00013852,             0.00013852
                     24,                 6.5703,                 4.2304,                  3.984,                      0,                      0,                      0,                      0,                 6.8285,                 4.5924,                 4.1365,             0.00013397,             0.00013397,             0.00013397
                     25,                 6.8058,                 4.7973,                 4.0056,                      0,                      0,                      0,                      0,                 6.8281,                  4.588,                 4.1323,             0.00012848,             0.00012848,             0.00012848
                     26,                 6.7239,                  4.526,                 3.9185,                      0,                      0,                      0,                      0,                 6.8281,                  4.588,                 4.1323,             0.00012205,             0.00012205,             0.00012205
                     27,                 6.5669,                 4.3947,                 3.9604,                      0,                      0,                      0,                      0,                 6.8277,                  4.584,                 4.1283,             0.00011467,             0.00011467,             0.00011467
                     28,                 6.6187,                 4.1377,                  3.935,                      0,                      0,                      0,                      0,                 6.8277,                  4.584,                 4.1283,             0.00010635,             0.00010635,             0.00010635
                     29,                 6.6561,                 5.0366,                 3.9094,                      0,                      0,                      0,                      0,                 6.8273,                 4.5802,                 4.1243,             9.7086e-05,             9.7086e-05,             9.7086e-05
                     30,                 6.5438,                 4.4188,                 3.9885,                      0,                      0,                      0,                      0,                 6.8273,                 4.5802,                 4.1243,             8.6879e-05,             8.6879e-05,             8.6879e-05
                     31,                 6.6239,                 4.7139,                 3.9936,                      0,                      0,                      0,                      0,                  6.827,                 4.5771,                 4.1207,             7.5729e-05,             7.5729e-05,             7.5729e-05
                     32,                 6.3826,                 3.8579,                 3.8869,                      0,                      0,                      0,                      0,                  6.827,                 4.5771,                 4.1207,             6.3637e-05,             6.3637e-05,             6.3637e-05
                     33,                 6.4428,                 3.8766,                 3.9359,                      0,                      0,                      0,                      0,                 6.8266,                 4.5741,                  4.117,             5.0601e-05,             5.0601e-05,             5.0601e-05
                     34,                 6.5834,                 4.5337,                 3.8199,                      0,                      0,                      0,                      0,                 6.8266,                 4.5741,                  4.117,             3.6622e-05,             3.6622e-05,             3.6622e-05
                     35,                 6.6985,                  4.439,                 3.9457,                      0,                      0,                      0,                      0,                 6.8262,                 4.5712,                 4.1134,               2.17e-05,               2.17e-05,               2.17e-05
