                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9957,                 4.0305,                 4.1675,                      0,                      0,                      0,                      0,                 2.5186,                 4.2962,                 4.0733,               0.070517,              0.0032759,              0.0032759
                      1,                 2.9777,                 3.8609,                 4.0089,                      0,                      0,                      0,                      0,                 2.5496,                 4.2822,                 3.9175,               0.040386,              0.0064783,              0.0064783
                      2,                 2.8366,                 3.5987,                 3.7461,                0.25877,                0.16894,                0.09418,                0.03707,                 2.2606,                 26.719,                 4.1897,               0.010124,              0.0095488,              0.0095488
                      3,                 2.5286,                 3.4106,                 3.3117,                0.23823,                0.08596,                0.08248,                0.03336,                 1.7079,                 5.5605,                 3.0166,               0.009406,               0.009406,               0.009406
                      4,                  2.201,                 3.1528,                  2.974,                0.14872,                0.54805,                0.17246,                0.07598,                 1.4957,                 8.3372,                 2.9543,               0.009406,               0.009406,               0.009406
                      5,                  1.878,                 2.7548,                 2.6286,                0.23272,                0.12342,                 0.1545,                0.09434,                 1.6596,                 3.4164,                 2.9445,               0.009208,               0.009208,               0.009208
                      6,                 1.6498,                 2.4396,                 2.3414,                0.18852,                0.09172,                0.12339,                0.09838,                 1.1581,                 2.7128,                  2.275,                0.00901,                0.00901,                0.00901
                      7,                 1.4217,                 2.2033,                 2.1115,                0.15269,                0.21927,                0.14851,                0.12232,                 1.0784,                 2.2533,                 2.1521,               0.008812,               0.008812,               0.008812
                      8,                  1.286,                  2.057,                 1.9401,                0.15662,                0.12038,                0.13531,                0.11192,                0.91771,                  2.081,                 1.9486,               0.008614,               0.008614,               0.008614
                      9,                  1.201,                 1.9563,                 1.8342,                0.40071,                0.30434,                0.32466,                0.28108,                0.79782,                 1.7532,                 1.7178,               0.008416,               0.008416,               0.008416
                     10,                 1.1018,                 1.8535,                 1.7362,                 0.1584,                0.28509,                0.19002,                0.16758,                0.78553,                 1.7523,                 1.7056,               0.008218,               0.008218,               0.008218
                     11,                 1.0554,                 1.7891,                 1.6834,                0.31081,                0.39049,                0.30645,                0.24177,                 0.8492,                 1.7345,                 1.7689,                0.00802,                0.00802,                0.00802
                     12,                0.99965,                 1.7244,                 1.6233,                0.45555,                0.34508,                0.36222,                0.32595,                0.72194,                  1.617,                 1.5525,               0.007822,               0.007822,               0.007822
